Begin-End,Transcript,Strategy,Fidelity Score,AI Reasoning
0:04-0:12,"[{'start': '0:04', 'end': '0:05', 'text': 'You have to pick one.'}, {'start': '0:05', 'end': '0:06', 'text': 'You have to make a choice.'}, {'start': '0:10', 'end': '0:12', 'text': ""You look like you're like an antifix.""}]",Mand-model,"**Reasoning**: 
   - The parent provides a verbal prompt by instructing the child to ""pick one"" and ""make a choice,"" which aligns with the mand-model strategy (+1).
   - There is no clear indication of joint attention being established before or during the prompts, as the transcript does not provide context for visual or shared focus (+0).
   - The transcript does not indicate any waiting period of ~3 seconds for the child's response before the parent continues speaking (+0).
   - The parent does not provide verbal feedback in the transcript, as the interaction ends without any feedback given to the child (+0).

2. **Fidelity**: 1",**Fidelity**: 1
0:14-0:16,"[{'start': '0:14', 'end': '0:16', 'text': 'Pigs of plainly, pigs galore.'}]","""Modeling""","**Reasoning**: The transcript provides a single line of text, ""Pigs of plainly, pigs galore,"" which does not clearly indicate the use of a verbal or gestural model, nor does it show evidence of establishing joint attention. There is no indication of waiting for a child's response or providing verbal feedback. Therefore, none of the fidelity criteria are met based on the provided transcript.

2. **Fidelity**: 1",**Fidelity**: 1
0:33-0:35,"[{'start': '0:33', 'end': '0:35', 'text': 'A crashabang, a shout a yell.'}]",Modeling,"**Reasoning**: The transcript provides a single line of text without context or additional interaction details. There is no clear evidence of a verbal or gestural model being presented, nor is there any indication of joint attention being established. The transcript does not show a pause or waiting period for the child's response, nor does it include any verbal feedback. Therefore, none of the fidelity criteria are met based on the provided transcript.

2. **Fidelity**: 1",**Fidelity**: 1
0:35-0:38,"[{'start': '0:35', 'end': '0:37', 'text': 'I slipped on something, then I fell.'}, {'start': '0:38', 'end': '0:38', 'text': 'What is this?'}]","""Modeling""","**Reasoning**: The parent does not present a verbal or gestural model in the transcript. There is no evidence of establishing joint attention. The parent does not wait ~3 seconds for the child's response, as the transcript does not indicate any pause. The parent asks a simple ""What is this?"" question, which does not provide verbal feedback beyond a yes/no question.  
2. **Fidelity**: 0",**Fidelity**: 0
0:38-0:42,"[{'start': '0:38', 'end': '0:38', 'text': 'What is this?'}, {'start': '0:40', 'end': '0:40', 'text': 'Ah!'}, {'start': '0:41', 'end': '0:42', 'text': 'Yeah, banana!'}]",Mand-model,"**Reasoning**: 
   - The parent presents a verbal prompt in the form of a question: ""What is this?"" (+1 point).
   - The transcript does not provide explicit evidence of joint attention being established before or while prompting, so no point is awarded for joint attention.
   - There is no indication of a ~3-second wait time for the child's response before continuing, so no point is awarded for waiting.
   - The parent provides verbal feedback: ""Yeah, banana!"" which is not a simple ""Yes/No"" question (+1 point).

2. **Fidelity**: 2",**Fidelity**: 2
0:47-0:49,"[{'start': '0:47', 'end': '0:49', 'text': 'I landed on a pile of pigs.'}]","""Modeling""","**Reasoning**: The transcript provides a single statement from the parent, ""I landed on a pile of pigs."" There is no evidence of a verbal or gestural model being presented, nor is there any indication of joint attention being established. The transcript does not show any waiting period for the child's response, nor does it include any verbal feedback. Therefore, none of the fidelity criteria are met in this interaction.
2. **Fidelity**: 1",**Fidelity**: 1
0:49-0:53,"[{'start': '0:49', 'end': '0:52', 'text': 'Some eating dates, some eating pigs.'}, {'start': '0:52', 'end': '0:53', 'text': ""What's that?""}]",Modeling,"**Reasoning**: The parent does not present a clear verbal or gestural model in the transcript. There is no evidence of establishing joint attention, as the transcript does not indicate any shared focus or engagement with the child. The parent does not wait approximately 3 seconds for the child's response, as the follow-up question ""What's that?"" is immediate. The feedback provided is a simple question, which does not qualify as verbal feedback beyond a simple ""Yes/No"" question.  
2. **Fidelity**: 0",**Fidelity**: 0
0:52-0:59,"[{'start': '0:52', 'end': '0:53', 'text': ""What's that?""}, {'start': '0:55', 'end': '0:56', 'text': 'Eh.'}, {'start': '0:58', 'end': '0:59', 'text': 'Sandwich.'}]",Mand-model,"**Reasoning**:  
   - The parent presents a verbal prompt in the form of a question (""What's that?""), which satisfies criterion",**Fidelity**: 1
1:03-1:03,"[{'start': '1:03', 'end': '1:03', 'text': 'Sandwich.'}]","""Modeling""","**Reasoning**: The transcript provides only a single word, ""Sandwich,"" with no additional context or interaction details. Therefore, it is not possible to determine if a verbal or gestural model was presented, if joint attention was established, if there was a wait time for the child's response, or if verbal feedback was provided. Without more information, none of the fidelity criteria can be confirmed as met.

2. **Fidelity**: 1",**Fidelity**: 1
1:11-1:13,"[{'start': '1:11', 'end': '1:13', 'text': 'Black pigs, white pigs, brown and pink,'}]","""Modeling""","**Reasoning**: The parent presents a verbal model by naming different colors of pigs, which could help the child learn color and animal vocabulary. However, there is no indication of joint attention being established, no evidence of waiting for the child's response, and no verbal feedback provided to the child. Therefore, only the first criterion is met.
2. **Fidelity**: 1",**Fidelity**: 1
